ArrestNumber,ArresteeID,ArrestYr
20-013906,102440828,2020
20-013906,102337912,2020
21-026092,102439149,2021
20-011572,102205194,2020
19-018696,102761732,2019
20-006701,102370300,2020
21-025309,102259068,2021
20-015002,102347486,2020
19-039056,102761808,2019
21-025265,102092793,2021
21-023358,101133313,2021
21-005129,102333594,2021
19-035066,102761787,2019
21-004741,102761483,2021
20-002077,102775111,2020
21-025289,102761345,2021
19-002382,102775111,2019
20-004020,102761345,2020
20-016637,101893640,2020
20-009714,102333180,2020
20-009714,13190802,2020
20-009714,102185659,2020
20-009714,102071633,2020
19-028869,102201098,2019
19-028869,102185659,2019
19-028869,102071633,2019
19-028228,102185659,2019
19-028228,102071633,2019
19-028228,102201098,2019
19-028228,102002341,2019
19-037350,101293346,2019
19-037350,102763014,2019
19-037350,102762814,2019
19-037350,102372794,2019
20-018371,102372794,2020
19-019997,102372794,2019
18-020446,102372794,2018
18-002295,102339037,2018
18-025613,102717830,2018
20-025052,102717550,2020
21-024205,102174699,2021
20-000416,100045578,2020
20-026092,102761766,2020
19-034935,100045578,2019
19-034935,102761766,2019
19-037856,102376915,2019
20-005573,101920151,2020
20-021622,100070365,2020
21-024940,102437052,2021
20-026593,101206157,2020
20-018922,102249586,2020
20-026840,101949219,2020
20-026840,100860196,2020
21-001667,101896109,2021
21-001667,102388266,2021
21-001667,102264874,2021
21-003238,101659102,2021
21-003238,10809778,2021
21-003238,15240563,2021
19-032655,100991644,2019
21-026026,102758487,2021
20-009113,102071546,2020
20-011244,102071546,2020
21-026060,102071546,2021
21-025293,102071546,2021
21-026039,102071546,2021
21-025507,102071546,2021
21-020562,102071546,2021
19-012708,102071546,2019
21-025471,102071546,2021
21-025337,102071546,2021
21-025655,102333077,2021
21-007580,102083176,2021
20-004075,102417599,2020
20-015012,102504000,2020
20-015012,102659953,2020
20-015012,102661198,2020
20-013997,102576564,2020
20-013997,102764091,2020
20-013997,102659953,2020
20-014923,102661198,2020
20-014923,102576564,2020
20-014923,102764091,2020
19-030239,102659953,2019
20-018204,102661198,2020
20-019333,102576564,2020
20-019333,102764091,2020
20-019333,102659953,2020
20-019333,102661198,2020
