county,year,month,year_month_str,months_from_reform,n_total_hearings,n_felony_hearings,n_ror,n_hdob,n_hwob,pct_ror,pct_hdob,pct_hwob,pct_felony
Caroline,2016,12,2016-12,1,14,2,5,0,9,35.714285714285715,0.0,64.28571428571429,14.285714285714286
Caroline,2017,1,2017-01,2,29,1,13,5,11,44.827586206896555,17.24137931034483,37.93103448275862,3.4482758620689653
Caroline,2017,2,2017-02,3,19,1,14,1,4,73.6842105263158,5.2631578947368425,21.05263157894737,5.2631578947368425
Caroline,2017,3,2017-03,4,40,2,17,7,16,42.5,17.5,40.0,5.0
Caroline,2017,4,2017-04,5,23,0,11,0,12,47.82608695652174,0.0,52.17391304347826,0.0
Caroline,2017,5,2017-05,6,34,0,19,5,10,55.88235294117647,14.705882352941176,29.41176470588235,0.0
Caroline,2017,6,2017-06,7,22,0,10,1,11,45.45454545454545,4.545454545454546,50.0,0.0
Caroline,2017,7,2017-07,8,20,0,10,1,9,50.0,5.0,45.0,0.0
Caroline,2017,8,2017-08,9,28,0,15,4,9,53.57142857142857,14.285714285714286,32.142857142857146,0.0
Caroline,2017,9,2017-09,10,30,1,14,6,10,46.666666666666664,20.0,33.333333333333336,3.3333333333333335
Caroline,2017,10,2017-10,11,21,0,9,4,8,42.857142857142854,19.047619047619047,38.095238095238095,0.0
Caroline,2017,11,2017-11,12,12,0,5,2,5,41.666666666666664,16.666666666666668,41.666666666666664,0.0
Caroline,2017,12,2017-12,13,22,0,12,2,8,54.54545454545455,9.090909090909092,36.36363636363637,0.0
Caroline,2018,1,2018-01,14,20,0,8,0,12,40.0,0.0,60.0,0.0
Caroline,2018,2,2018-02,15,26,0,12,0,14,46.15384615384615,0.0,53.84615384615385,0.0
Caroline,2018,3,2018-03,16,28,0,8,0,20,28.571428571428573,0.0,71.42857142857143,0.0
Caroline,2018,4,2018-04,17,42,0,18,2,22,42.857142857142854,4.761904761904762,52.38095238095238,0.0
Caroline,2018,5,2018-05,18,24,0,10,1,13,41.666666666666664,4.166666666666667,54.166666666666664,0.0
Caroline,2018,6,2018-06,19,35,0,18,2,15,51.42857142857143,5.714285714285714,42.857142857142854,0.0
Caroline,2018,7,2018-07,20,46,0,24,2,20,52.17391304347826,4.3478260869565215,43.47826086956522,0.0
Caroline,2018,8,2018-08,21,27,0,12,1,14,44.44444444444444,3.7037037037037037,51.851851851851855,0.0
Caroline,2018,9,2018-09,22,31,0,21,3,7,67.74193548387096,9.67741935483871,22.580645161290324,0.0
Caroline,2018,10,2018-10,23,39,0,20,0,19,51.282051282051285,0.0,48.717948717948715,0.0
Caroline,2018,11,2018-11,24,25,0,14,2,9,56.0,8.0,36.0,0.0
Caroline,2018,12,2018-12,25,25,0,14,0,11,56.0,0.0,44.0,0.0
Carroll,2016,1,2016-01,-10,65,10,21,36,8,32.30769230769231,55.38461538461539,12.307692307692308,15.384615384615385
Carroll,2016,2,2016-02,-9,49,0,10,33,6,20.408163265306122,67.34693877551021,12.244897959183673,0.0
Carroll,2016,3,2016-03,-8,78,6,27,40,11,34.61538461538461,51.282051282051285,14.102564102564102,7.6923076923076925
Carroll,2016,4,2016-04,-7,67,9,14,40,13,20.895522388059703,59.701492537313435,19.402985074626866,13.432835820895523
Carroll,2016,5,2016-05,-6,65,7,27,28,10,41.53846153846154,43.07692307692308,15.384615384615385,10.76923076923077
Carroll,2016,6,2016-06,-5,92,9,31,49,12,33.69565217391305,53.26086956521739,13.043478260869565,9.782608695652174
Carroll,2016,7,2016-07,-4,94,8,39,46,9,41.48936170212766,48.93617021276596,9.574468085106384,8.51063829787234
Carroll,2016,8,2016-08,-3,86,14,23,48,15,26.74418604651163,55.81395348837209,17.441860465116278,16.27906976744186
Carroll,2016,9,2016-09,-2,69,13,14,44,11,20.28985507246377,63.768115942028984,15.942028985507246,18.840579710144926
Carroll,2016,10,2016-10,-1,82,13,26,45,11,31.70731707317073,54.8780487804878,13.414634146341463,15.853658536585366
Carroll,2016,11,2016-11,0,71,10,37,19,15,52.11267605633803,26.760563380281692,21.12676056338028,14.084507042253522
Carroll,2016,12,2016-12,1,61,5,29,19,13,47.540983606557376,31.147540983606557,21.311475409836067,8.19672131147541
Carroll,2017,1,2017-01,2,69,9,37,14,18,53.6231884057971,20.28985507246377,26.08695652173913,13.043478260869565
Carroll,2017,2,2017-02,3,85,9,39,23,23,45.88235294117647,27.058823529411764,27.058823529411764,10.588235294117647
Carroll,2017,3,2017-03,4,70,12,16,28,26,22.857142857142858,40.0,37.142857142857146,17.142857142857142
Carroll,2017,4,2017-04,5,54,10,25,20,9,46.2962962962963,37.03703703703704,16.666666666666668,18.51851851851852
Carroll,2017,5,2017-05,6,76,9,39,16,21,51.31578947368421,21.05263157894737,27.63157894736842,11.842105263157896
Carroll,2017,6,2017-06,7,75,12,45,14,16,60.0,18.666666666666668,21.333333333333332,16.0
Carroll,2017,7,2017-07,8,83,14,34,28,21,40.963855421686745,33.734939759036145,25.301204819277107,16.867469879518072
Carroll,2017,8,2017-08,9,80,4,42,16,22,52.5,20.0,27.5,5.0
Carroll,2017,9,2017-09,10,52,6,24,11,17,46.15384615384615,21.153846153846153,32.69230769230769,11.538461538461538
Carroll,2017,10,2017-10,11,77,7,38,13,26,49.35064935064935,16.883116883116884,33.76623376623377,9.090909090909092
Carroll,2017,11,2017-11,12,57,8,22,17,18,38.59649122807018,29.82456140350877,31.57894736842105,14.035087719298245
Carroll,2017,12,2017-12,13,59,8,22,13,24,37.28813559322034,22.033898305084747,40.67796610169491,13.559322033898304
Carroll,2018,1,2018-01,14,64,10,20,22,22,31.25,34.375,34.375,15.625
Carroll,2018,2,2018-02,15,59,4,18,23,18,30.508474576271187,38.983050847457626,30.508474576271187,6.779661016949152
Carroll,2018,3,2018-03,16,58,2,21,19,18,36.206896551724135,32.758620689655174,31.03448275862069,3.4482758620689653
Carroll,2018,4,2018-04,17,68,6,37,9,22,54.411764705882355,13.235294117647058,32.35294117647059,8.823529411764707
Carroll,2018,5,2018-05,18,49,8,24,6,19,48.97959183673469,12.244897959183673,38.775510204081634,16.3265306122449
Carroll,2018,6,2018-06,19,45,5,23,9,13,51.111111111111114,20.0,28.88888888888889,11.11111111111111
Carroll,2018,7,2018-07,20,63,11,23,6,34,36.507936507936506,9.523809523809524,53.96825396825397,17.46031746031746
Carroll,2018,8,2018-08,21,66,11,18,12,36,27.272727272727273,18.181818181818183,54.54545454545455,16.666666666666668
Carroll,2018,9,2018-09,22,54,7,22,13,19,40.74074074074074,24.074074074074073,35.18518518518518,12.962962962962964
Carroll,2018,10,2018-10,23,57,6,24,13,20,42.10526315789474,22.80701754385965,35.08771929824562,10.526315789473685
Carroll,2018,11,2018-11,24,50,4,22,12,16,44.0,24.0,32.0,8.0
Carroll,2018,12,2018-12,25,70,6,28,16,26,40.0,22.857142857142858,37.142857142857146,8.571428571428571
Cecil,2016,1,2016-01,-10,117,0,27,64,26,23.076923076923077,54.7008547008547,22.22222222222222,0.0
Cecil,2016,2,2016-02,-9,89,0,13,54,22,14.606741573033707,60.674157303370784,24.719101123595507,0.0
Cecil,2016,3,2016-03,-8,106,0,15,64,27,14.150943396226415,60.37735849056604,25.471698113207548,0.0
Cecil,2016,4,2016-04,-7,100,0,12,67,21,12.0,67.0,21.0,0.0
Cecil,2016,5,2016-05,-6,110,0,15,60,35,13.636363636363637,54.54545454545455,31.818181818181817,0.0
Cecil,2016,6,2016-06,-5,116,0,20,69,27,17.24137931034483,59.48275862068966,23.275862068965516,0.0
Cecil,2016,7,2016-07,-4,98,0,22,54,22,22.448979591836736,55.10204081632653,22.448979591836736,0.0
Cecil,2016,8,2016-08,-3,89,0,15,45,29,16.853932584269664,50.561797752808985,32.58426966292135,0.0
Cecil,2016,9,2016-09,-2,90,0,22,51,17,24.444444444444443,56.666666666666664,18.88888888888889,0.0
Cecil,2016,10,2016-10,-1,73,0,13,34,26,17.80821917808219,46.57534246575342,35.61643835616438,0.0
Cecil,2016,11,2016-11,0,87,0,20,18,49,22.988505747126435,20.689655172413794,56.32183908045977,0.0
Cecil,2016,12,2016-12,1,56,0,17,13,26,30.357142857142858,23.214285714285715,46.42857142857143,0.0
Cecil,2017,1,2017-01,2,101,0,27,28,46,26.73267326732673,27.722772277227723,45.54455445544554,0.0
Cecil,2017,2,2017-02,3,86,0,23,26,37,26.74418604651163,30.232558139534884,43.02325581395349,0.0
Cecil,2017,3,2017-03,4,99,0,34,26,39,34.343434343434346,26.262626262626263,39.39393939393939,0.0
Cecil,2017,4,2017-04,5,78,0,18,28,32,23.076923076923077,35.8974358974359,41.02564102564103,0.0
Cecil,2017,5,2017-05,6,113,0,34,25,54,30.088495575221238,22.123893805309734,47.78761061946903,0.0
Cecil,2017,6,2017-06,7,103,0,31,23,49,30.097087378640776,22.33009708737864,47.57281553398058,0.0
Cecil,2017,7,2017-07,8,85,0,25,17,43,29.41176470588235,20.0,50.588235294117645,0.0
Cecil,2017,8,2017-08,9,117,0,30,33,54,25.641025641025642,28.205128205128204,46.15384615384615,0.0
Cecil,2017,9,2017-09,10,99,0,35,14,50,35.35353535353536,14.141414141414142,50.505050505050505,0.0
Cecil,2017,10,2017-10,11,99,0,29,14,56,29.292929292929294,14.141414141414142,56.56565656565657,0.0
Cecil,2017,11,2017-11,12,112,0,32,21,59,28.571428571428573,18.75,52.67857142857143,0.0
Cecil,2017,12,2017-12,13,88,0,23,14,51,26.136363636363637,15.909090909090908,57.95454545454545,0.0
Cecil,2018,1,2018-01,14,92,0,28,17,47,30.434782608695652,18.47826086956522,51.08695652173913,0.0
Cecil,2018,2,2018-02,15,95,0,26,18,51,27.36842105263158,18.94736842105263,53.68421052631579,0.0
Cecil,2018,3,2018-03,16,122,0,34,27,61,27.868852459016395,22.131147540983605,50.0,0.0
Cecil,2018,4,2018-04,17,84,0,20,19,45,23.80952380952381,22.61904761904762,53.57142857142857,0.0
Cecil,2018,5,2018-05,18,110,0,33,14,63,30.0,12.727272727272727,57.27272727272727,0.0
Cecil,2018,6,2018-06,19,94,0,21,17,56,22.340425531914892,18.085106382978722,59.57446808510638,0.0
Cecil,2018,7,2018-07,20,104,0,21,18,65,20.192307692307693,17.307692307692307,62.5,0.0
Cecil,2018,8,2018-08,21,117,0,33,17,67,28.205128205128204,14.52991452991453,57.26495726495727,0.0
Cecil,2018,9,2018-09,22,130,0,46,18,66,35.38461538461539,13.846153846153847,50.76923076923077,0.0
Cecil,2018,10,2018-10,23,134,0,40,21,73,29.850746268656717,15.671641791044776,54.47761194029851,0.0
Cecil,2018,11,2018-11,24,114,0,35,20,59,30.70175438596491,17.54385964912281,51.75438596491228,0.0
Cecil,2018,12,2018-12,25,97,0,38,12,47,39.175257731958766,12.371134020618557,48.45360824742268,0.0
Charles,2016,1,2016-01,-10,117,2,64,41,12,54.7008547008547,35.042735042735046,10.256410256410257,1.7094017094017093
Charles,2016,2,2016-02,-9,127,0,64,44,19,50.39370078740158,34.645669291338585,14.960629921259843,0.0
Charles,2016,3,2016-03,-8,144,2,68,63,13,47.22222222222222,43.75,9.027777777777779,1.3888888888888888
Charles,2016,4,2016-04,-7,117,0,52,52,13,44.44444444444444,44.44444444444444,11.11111111111111,0.0
Charles,2016,5,2016-05,-6,148,0,81,53,14,54.729729729729726,35.810810810810814,9.45945945945946,0.0
Charles,2016,6,2016-06,-5,127,0,64,43,20,50.39370078740158,33.85826771653543,15.748031496062993,0.0
Charles,2016,7,2016-07,-4,96,1,39,41,16,40.625,42.708333333333336,16.666666666666668,1.0416666666666667
Charles,2016,8,2016-08,-3,92,2,40,39,13,43.47826086956522,42.391304347826086,14.130434782608695,2.1739130434782608
Charles,2016,9,2016-09,-2,116,2,50,54,12,43.10344827586207,46.55172413793103,10.344827586206897,1.7241379310344827
Charles,2016,10,2016-10,-1,121,1,51,47,23,42.14876033057851,38.84297520661157,19.00826446280992,0.8264462809917356
Charles,2016,11,2016-11,0,110,0,53,40,17,48.18181818181818,36.36363636363637,15.454545454545455,0.0
Charles,2016,12,2016-12,1,103,0,41,39,23,39.80582524271845,37.86407766990291,22.33009708737864,0.0
Charles,2017,1,2017-01,2,115,0,43,50,22,37.391304347826086,43.47826086956522,19.130434782608695,0.0
Charles,2017,2,2017-02,3,120,1,54,46,20,45.0,38.333333333333336,16.666666666666668,0.8333333333333334
Charles,2017,3,2017-03,4,133,1,67,46,20,50.37593984962406,34.58646616541353,15.037593984962406,0.7518796992481203
Charles,2017,4,2017-04,5,102,2,42,39,21,41.1764705882353,38.23529411764706,20.58823529411765,1.9607843137254901
Charles,2017,5,2017-05,6,128,0,59,46,23,46.09375,35.9375,17.96875,0.0
Charles,2017,6,2017-06,7,124,0,56,30,38,45.16129032258065,24.193548387096776,30.64516129032258,0.0
Charles,2017,7,2017-07,8,121,1,64,20,37,52.892561983471076,16.52892561983471,30.578512396694215,0.8264462809917356
Charles,2017,8,2017-08,9,100,3,39,29,32,39.0,29.0,32.0,3.0
Charles,2017,9,2017-09,10,107,0,55,19,33,51.401869158878505,17.757009345794394,30.8411214953271,0.0
Charles,2017,10,2017-10,11,105,0,52,17,36,49.523809523809526,16.19047619047619,34.285714285714285,0.0
Charles,2017,11,2017-11,12,87,0,44,17,26,50.57471264367816,19.54022988505747,29.885057471264368,0.0
Charles,2017,12,2017-12,13,102,0,56,15,31,54.90196078431372,14.705882352941176,30.392156862745097,0.0
Charles,2018,1,2018-01,14,107,11,48,16,43,44.85981308411215,14.953271028037383,40.18691588785047,10.280373831775702
Charles,2018,2,2018-02,15,101,13,41,19,41,40.59405940594059,18.81188118811881,40.59405940594059,12.871287128712872
Charles,2018,3,2018-03,16,109,8,57,22,30,52.293577981651374,20.18348623853211,27.522935779816514,7.339449541284404
Charles,2018,4,2018-04,17,98,11,37,28,33,37.755102040816325,28.571428571428573,33.673469387755105,11.224489795918368
Charles,2018,5,2018-05,18,90,12,42,16,32,46.666666666666664,17.77777777777778,35.55555555555556,13.333333333333334
Charles,2018,6,2018-06,19,123,15,59,26,38,47.96747967479675,21.13821138211382,30.89430894308943,12.195121951219512
Charles,2018,7,2018-07,20,102,14,41,24,37,40.19607843137255,23.529411764705884,36.27450980392157,13.72549019607843
Charles,2018,8,2018-08,21,108,10,55,21,32,50.925925925925924,19.444444444444443,29.62962962962963,9.25925925925926
Charles,2018,9,2018-09,22,104,9,61,15,28,58.65384615384615,14.423076923076923,26.923076923076923,8.653846153846153
